Date,State,Coal_Consumption,Petrol_Consumption
9/30/1961,MT,29.72916667,1774.729167
9/30/1961,NC,796.2083333,6773.166667
9/30/1961,ND,173.125,1462.229167
9/30/1961,NE,65.66666667,2190.604167
9/30/1961,NH,44.66666667,1328.3125
9/30/1961,NJ,633.5625,14066.6875
9/30/1961,NM,11.27083333,1709.166667
9/30/1961,NV,11.64583333,985.75
9/30/1961,NY,1968.166667,26909.52083
9/30/1961,OH,3825.833333,11553.25
9/30/1961,OK,4.75,4060.145833
9/30/1961,OR,33.72916667,3250.5
9/30/1961,PA,4642.166667,16096.1875
9/30/1961,RI,43.58333333,1899.479167
9/30/1961,SC,336.4791667,3357.166667
9/30/1961,SD,29.70833333,1361.5
9/30/1961,TN,1203.270833,3670
9/30/1961,TX,58.39583333,25065.72917
9/30/1961,US,32368.3125,304595.4167
9/30/1961,UT,252.1041667,1856.229167
9/30/1961,VA,1059.354167,6308.375
9/30/1961,VT,12.77083333,772.4791667
9/30/1961,WA,52.95833333,5397.041667
9/30/1961,WI,1076.354167,5928.5
9/30/1961,WV,1313.479167,2003.354167
9/30/1961,WY,109.3125,1222.041667
10/31/1961,AK,56.87083333,799.1833333
10/31/1961,AL,1261.379167,3570.608333
10/31/1961,AR,0.829166667,2617.379167
10/31/1961,AZ,0.833333333,1992.941667
10/31/1961,CA,209.2583333,28221.67917
10/31/1961,CO,282.4625,2767.554167
10/31/1961,CT,345.2166667,5339.133333
10/31/1961,DC,79.25833333,812.9083333
10/31/1961,DE,68.27916667,1693.716667
10/31/1961,FL,135.9875,9540.670833
10/31/1961,GA,302.0791667,4588.320833
10/31/1961,HI,0,1767.041667
10/31/1961,IA,378.5416667,4270.070833
10/31/1961,ID,60.05,1203.654167
10/31/1961,IL,3255.008333,16620.325
10/31/1961,IN,2742.2125,8833.670833
10/31/1961,KS,45.225,3945.525
10/31/1961,KY,1004.433333,3137.5125
10/31/1961,LA,0,7514.8
10/31/1961,MA,389.9291667,11943.34167
10/31/1961,MD,726.0791667,5092.241667
10/31/1961,ME,62.45416667,2537.2125
10/31/1961,MI,2097.833333,10812.63333
10/31/1961,MN,503.0625,5654.175
10/31/1961,MO,571.6375,6240.583333
10/31/1961,MS,2.05,2288.4625
10/31/1961,MT,30.42083333,1789.254167
10/31/1961,NC,800.2583333,6806.566667
10/31/1961,ND,172.975,1455.320833
10/31/1961,NE,65,2194.3125
10/31/1961,NH,46.8,1335.5375
10/31/1961,NJ,641.4208333,14085.79583
10/31/1961,NM,11.0125,1710.4
10/31/1961,NV,11.57083333,997.05
10/31/1961,NY,1949.5,27078.69583
10/31/1961,OH,3790.233333,11518.45
10/31/1961,OK,4.616666667,4066.270833
10/31/1961,OR,33.8875,3258.1
10/31/1961,PA,4609.233333,16070.49583
10/31/1961,RI,43.08333333,1876.970833
10/31/1961,SC,338.6041667,3361.333333
10/31/1961,SD,29.59166667,1362.966667
10/31/1961,TN,1196.6125,3681.933333
10/31/1961,TX,55.95416667,25101.92083
10/31/1961,US,32303.90417,305057.5833
10/31/1961,UT,249.2791667,1855.7875
10/31/1961,VA,1063.1625,6292.058333
10/31/1961,VT,12.87916667,778.0708333
10/31/1961,WA,53.14166667,5407.091667
10/31/1961,WI,1077.5625,5926.7
10/31/1961,WV,1324.8375,2011.195833
10/31/1961,WY,111.4375,1229.791667
11/30/1961,AK,58.7625,807.7833333
11/30/1961,AL,1258.654167,3566.591667
11/30/1961,AR,0.804166667,2635.4875
11/30/1961,AZ,0.833333333,2000.925
11/30/1961,CA,216.475,28302.75417
11/30/1961,CO,285.2375,2785.879167
11/30/1961,CT,347.0166667,5344.266667
11/30/1961,DC,78.64166667,807.8583333
11/30/1961,DE,68.45416667,1685.85
11/30/1961,FL,139.2458333,9571.8625
11/30/1961,GA,302.5541667,4584.245833
11/30/1961,HI,0,1793.958333
11/30/1961,IA,374.125,4257.995833
11/30/1961,ID,60.18333333,1209.579167
11/30/1961,IL,3251.225,16621.775
11/30/1961,IN,2744.154167,8822.529167
11/30/1961,KS,44.40833333,3947.675
11/30/1961,KY,1004.7,3136.420833
11/30/1961,LA,0,7523.433333
11/30/1961,MA,390.6708333,11971.725
11/30/1961,MD,727.2208333,5087.691667
11/30/1961,ME,62.17916667,2559.654167
